,Forecast
2021-08-01,23961.0
2021-09-01,24633.0
2021-10-01,24719.0
2021-11-01,24921.0
2021-12-01,25268.0
2022-01-01,25559.0
2022-02-01,25924.0
2022-03-01,25756.0
2022-04-01,26181.0
2022-05-01,25938.0
2022-06-01,25812.0
2022-07-01,25618.0
2022-08-01,26003.0
2022-09-01,26778.0
2022-10-01,26882.0
2022-11-01,27130.0
2022-12-01,27544.0
2023-01-01,27886.0
